event_id,day_index,hour,site_token,metric_raw,layer,pii_status,dataset
B-00062,0,2,SITE-006,57.19,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00063,0,4,SITE-006,70.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00064,0,6,SITE-006,80.83,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00065,0,8,SITE-006,78.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00066,0,10,SITE-006,77.49,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00067,0,12,SITE-006,53.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00068,0,14,SITE-006,50.99,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00069,0,16,SITE-006,91.74,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00070,0,18,SITE-006,55.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00071,0,20,SITE-006,50.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00072,0,22,SITE-006,91.41,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00073,0,0,SITE-007,42.16,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00074,0,2,SITE-007,40.42,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00075,0,4,SITE-007,64.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00076,0,6,SITE-007,83.54,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00077,0,8,SITE-007,50.32,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00078,0,10,SITE-007,84.13,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00079,0,12,SITE-007,40.97,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00080,0,14,SITE-007,81.08,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00081,0,16,SITE-007,84.84,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00082,0,18,SITE-007,84.01,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00083,0,20,SITE-007,56.39,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00084,0,22,SITE-007,43.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00085,0,0,SITE-008,54.84,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00086,0,2,SITE-008,77.44,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00087,0,4,SITE-008,91.2,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00088,0,6,SITE-008,80.03,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00089,0,8,SITE-008,51.75,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00090,0,10,SITE-008,74.55,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00091,0,12,SITE-008,48.91,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00092,0,14,SITE-008,77.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00093,0,16,SITE-008,69.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00094,0,18,SITE-008,91.8,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00095,0,20,SITE-008,59.36,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00096,0,22,SITE-008,75.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00097,0,0,SITE-009,88.49,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00098,0,2,SITE-009,82.66,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00099,0,4,SITE-009,44.55,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00100,0,6,SITE-009,84.82,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00101,0,8,SITE-009,63.26,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00102,0,10,SITE-009,51.6,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00103,0,12,SITE-009,89.23,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00104,0,14,SITE-009,63.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00105,0,16,SITE-009,75.79,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00106,0,18,SITE-009,66.93,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00107,0,20,SITE-009,41.96,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00108,0,22,SITE-009,80.51,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00109,0,0,SITE-010,69.65,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00110,0,2,SITE-010,71.7,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00111,0,4,SITE-010,80.38,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00112,0,6,SITE-010,60.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00113,0,8,SITE-010,61.42,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00114,0,10,SITE-010,87.59,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00115,0,12,SITE-010,83.0,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00116,0,14,SITE-010,86.62,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00117,0,16,SITE-010,74.85,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00118,0,18,SITE-010,77.53,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00119,0,20,SITE-010,67.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00120,0,22,SITE-010,58.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00121,0,0,SITE-011,47.76,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00122,0,2,SITE-011,46.78,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00123,0,4,SITE-011,79.86,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00124,0,6,SITE-011,92.92,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00125,0,8,SITE-011,60.12,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00126,0,10,SITE-011,65.13,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00127,0,12,SITE-011,41.09,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00128,0,14,SITE-011,72.27,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00129,0,16,SITE-011,49.08,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00130,0,18,SITE-011,51.85,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00131,0,20,SITE-011,74.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00132,0,22,SITE-011,69.4,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00133,0,0,SITE-012,51.17,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00134,0,2,SITE-012,53.34,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00135,0,4,SITE-012,71.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00136,0,6,SITE-012,40.5,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00137,0,8,SITE-012,59.66,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00138,0,10,SITE-012,89.03,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00139,0,12,SITE-012,90.94,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00140,0,14,SITE-012,79.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00141,0,16,SITE-012,76.52,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00142,0,18,SITE-012,42.94,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00143,0,20,SITE-012,83.61,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00144,0,22,SITE-012,46.17,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00145,1,0,SITE-001,60.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00146,1,2,SITE-001,74.52,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00147,1,4,SITE-001,50.91,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00148,1,6,SITE-001,50.26,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00149,1,8,SITE-001,41.75,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00150,1,10,SITE-001,76.69,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00151,1,12,SITE-001,80.5,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00152,1,14,SITE-001,72.68,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00153,1,16,SITE-001,58.07,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00154,1,18,SITE-001,77.36,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00155,1,20,SITE-001,88.35,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00156,1,22,SITE-001,60.89,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00157,1,0,SITE-002,74.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00158,1,2,SITE-002,73.69,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00159,1,4,SITE-002,89.15,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00160,1,6,SITE-002,78.59,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00161,1,8,SITE-002,63.68,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00162,1,10,SITE-002,61.25,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00163,1,12,SITE-002,64.99,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00164,1,14,SITE-002,46.12,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00165,1,16,SITE-002,79.16,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00166,1,18,SITE-002,46.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00167,1,20,SITE-002,93.87,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00168,1,22,SITE-002,78.6,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00169,1,0,SITE-003,91.49,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00170,1,2,SITE-003,55.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00171,1,4,SITE-003,49.18,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00172,1,6,SITE-003,84.17,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00173,1,8,SITE-003,86.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00174,1,10,SITE-003,81.85,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00175,1,12,SITE-003,53.9,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00176,1,14,SITE-003,87.02,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00177,1,16,SITE-003,57.67,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00178,1,18,SITE-003,94.78,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00179,1,20,SITE-003,65.35,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00180,1,22,SITE-003,73.87,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00181,1,0,SITE-004,44.66,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00182,1,2,SITE-004,49.18,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00183,1,4,SITE-004,87.74,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00184,1,6,SITE-004,74.95,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00185,1,8,SITE-004,93.09,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00186,1,10,SITE-004,73.34,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00187,1,12,SITE-004,50.26,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00188,1,14,SITE-004,43.78,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00189,1,16,SITE-004,57.24,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00190,1,18,SITE-004,46.38,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00191,1,20,SITE-004,51.12,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00192,1,22,SITE-004,86.03,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00193,1,0,SITE-005,77.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00194,1,2,SITE-005,69.39,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00195,1,4,SITE-005,54.53,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00196,1,6,SITE-005,89.79,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00197,1,8,SITE-005,81.27,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00198,1,10,SITE-005,54.14,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00199,1,12,SITE-005,46.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00200,1,14,SITE-005,69.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00201,1,16,SITE-005,93.36,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00202,1,18,SITE-005,63.08,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00203,1,20,SITE-005,78.08,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00204,1,22,SITE-005,60.73,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00205,1,0,SITE-006,91.23,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00206,1,2,SITE-006,72.26,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00207,1,4,SITE-006,60.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00208,1,6,SITE-006,77.35,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00209,1,8,SITE-006,58.41,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00210,1,10,SITE-006,49.5,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00211,1,12,SITE-006,44.64,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00212,1,14,SITE-006,87.27,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00213,1,16,SITE-006,85.14,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00214,1,18,SITE-006,50.24,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00215,1,20,SITE-006,62.21,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00216,1,22,SITE-006,51.25,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00217,1,0,SITE-007,58.52,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00218,1,2,SITE-007,70.2,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00219,1,4,SITE-007,80.0,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00220,1,6,SITE-007,68.83,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00221,1,8,SITE-007,57.55,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00222,1,10,SITE-007,84.88,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00223,1,12,SITE-007,62.63,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00224,1,14,SITE-007,78.94,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00225,1,16,SITE-007,83.73,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00226,1,18,SITE-007,82.77,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00227,1,20,SITE-007,89.75,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00228,1,22,SITE-007,81.6,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00229,1,0,SITE-008,44.96,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00230,1,2,SITE-008,92.08,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00231,1,4,SITE-008,58.12,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00232,1,6,SITE-008,47.68,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00233,1,8,SITE-008,74.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00234,1,10,SITE-008,67.0,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00235,1,12,SITE-008,84.21,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00236,1,14,SITE-008,67.13,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00237,1,16,SITE-008,51.34,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00238,1,18,SITE-008,72.93,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00239,1,20,SITE-008,91.0,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00240,1,22,SITE-008,54.81,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00241,1,0,SITE-009,85.85,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00242,1,2,SITE-009,58.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00243,1,4,SITE-009,41.38,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00244,1,6,SITE-009,70.35,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00245,1,8,SITE-009,79.05,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00246,1,10,SITE-009,74.57,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00247,1,12,SITE-009,79.57,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00248,1,14,SITE-009,42.01,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00249,1,16,SITE-009,68.76,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00250,1,18,SITE-009,78.17,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00251,1,20,SITE-009,66.09,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00252,1,22,SITE-009,74.84,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00253,1,0,SITE-010,51.94,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00254,1,2,SITE-010,75.21,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00255,1,4,SITE-010,66.4,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00256,1,6,SITE-010,54.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00257,1,8,SITE-010,52.3,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00258,1,10,SITE-010,91.79,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00259,1,12,SITE-010,47.17,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00260,1,14,SITE-010,56.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00261,1,16,SITE-010,50.09,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00262,1,18,SITE-010,88.21,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00263,1,20,SITE-010,71.77,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00264,1,22,SITE-010,56.53,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00265,1,0,SITE-011,83.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00266,1,2,SITE-011,68.88,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00267,1,4,SITE-011,75.51,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00268,1,6,SITE-011,42.33,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00269,1,8,SITE-011,63.45,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00270,1,10,SITE-011,40.99,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00271,1,12,SITE-011,43.68,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00272,1,14,SITE-011,49.66,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00273,1,16,SITE-011,66.63,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00274,1,18,SITE-011,84.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00275,1,20,SITE-011,60.72,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00276,1,22,SITE-011,82.18,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00277,1,0,SITE-012,66.03,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00278,1,2,SITE-012,71.41,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00279,1,4,SITE-012,60.56,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00280,1,6,SITE-012,41.15,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00281,1,8,SITE-012,46.31,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00282,1,10,SITE-012,43.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00283,1,12,SITE-012,43.93,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00284,1,14,SITE-012,52.25,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
