event_id,day_index,hour,site_token,metric_clean,dq_flag,layer,dataset
S-00046,0,18,SITE-004,67.6,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00047,0,20,SITE-004,72.67,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00048,0,22,SITE-004,56.52,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00049,0,0,SITE-005,43.48,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00050,0,2,SITE-005,56.47,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00051,0,4,SITE-005,43.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00052,0,6,SITE-005,81.6,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00053,0,8,SITE-005,67.64,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00054,0,10,SITE-005,42.05,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00055,0,12,SITE-005,84.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00056,0,14,SITE-005,60.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00057,0,16,SITE-005,44.25,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00058,0,18,SITE-005,88.32,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00059,0,20,SITE-005,76.28,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00060,0,22,SITE-005,52.83,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00061,0,0,SITE-006,85.35,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00062,0,2,SITE-006,56.49,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00063,0,4,SITE-006,69.45,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00064,0,6,SITE-006,79.39,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00065,0,8,SITE-006,77.67,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00066,0,10,SITE-006,77.41,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00067,0,12,SITE-006,53.07,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00068,0,14,SITE-006,50.25,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00069,0,16,SITE-006,90.71,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00070,0,18,SITE-006,54.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00071,0,20,SITE-006,49.4,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00072,0,22,SITE-006,89.62,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00073,0,0,SITE-007,41.91,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00074,0,2,SITE-007,39.69,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00075,0,4,SITE-007,64.16,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00076,0,6,SITE-007,82.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00077,0,8,SITE-007,49.87,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00078,0,10,SITE-007,84.0,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00079,0,12,SITE-007,40.22,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00080,0,14,SITE-007,79.76,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00081,0,16,SITE-007,84.2,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00082,0,18,SITE-007,82.78,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00083,0,20,SITE-007,56.27,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00084,0,22,SITE-007,43.44,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00085,0,0,SITE-008,53.78,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00086,0,2,SITE-008,76.14,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00087,0,4,SITE-008,90.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00088,0,6,SITE-008,78.55,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00089,0,8,SITE-008,51.08,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00090,0,10,SITE-008,74.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00091,0,12,SITE-008,48.72,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00092,0,14,SITE-008,77.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00093,0,16,SITE-008,69.29,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00094,0,18,SITE-008,91.42,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00095,0,20,SITE-008,58.89,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00096,0,22,SITE-008,75.48,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00097,0,0,SITE-009,88.49,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00098,0,2,SITE-009,82.47,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00099,0,4,SITE-009,43.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00100,0,6,SITE-009,83.35,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00101,0,8,SITE-009,62.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00102,0,10,SITE-009,51.53,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00103,0,12,SITE-009,87.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00104,0,14,SITE-009,63.04,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00105,0,16,SITE-009,74.93,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00106,0,18,SITE-009,66.31,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00107,0,20,SITE-009,41.61,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00108,0,22,SITE-009,80.5,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00109,0,0,SITE-010,69.18,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00110,0,2,SITE-010,70.55,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00111,0,4,SITE-010,79.55,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00112,0,6,SITE-010,59.77,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00113,0,8,SITE-010,60.93,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00114,0,10,SITE-010,86.49,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00115,0,12,SITE-010,82.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00116,0,14,SITE-010,85.02,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00117,0,16,SITE-010,74.6,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00118,0,18,SITE-010,76.32,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00119,0,20,SITE-010,66.32,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00120,0,22,SITE-010,57.69,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00121,0,0,SITE-011,47.47,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00122,0,2,SITE-011,46.46,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00123,0,4,SITE-011,78.97,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00124,0,6,SITE-011,92.24,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00125,0,8,SITE-011,59.83,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00126,0,10,SITE-011,64.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00127,0,12,SITE-011,40.64,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00128,0,14,SITE-011,70.95,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00129,0,16,SITE-011,48.42,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00130,0,18,SITE-011,51.01,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00131,0,20,SITE-011,73.17,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00132,0,22,SITE-011,68.57,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00133,0,0,SITE-012,50.7,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00134,0,2,SITE-012,52.38,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00135,0,4,SITE-012,71.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00136,0,6,SITE-012,39.95,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00137,0,8,SITE-012,58.51,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00138,0,10,SITE-012,88.28,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00139,0,12,SITE-012,90.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00140,0,14,SITE-012,78.25,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00141,0,16,SITE-012,75.59,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00142,0,18,SITE-012,42.16,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00143,0,20,SITE-012,82.19,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00144,0,22,SITE-012,45.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00145,1,0,SITE-001,59.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00146,1,2,SITE-001,73.86,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00147,1,4,SITE-001,50.2,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00148,1,6,SITE-001,49.68,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00149,1,8,SITE-001,41.64,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00150,1,10,SITE-001,76.15,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00151,1,12,SITE-001,79.49,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00152,1,14,SITE-001,72.23,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00153,1,16,SITE-001,57.89,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00154,1,18,SITE-001,76.86,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00155,1,20,SITE-001,88.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00156,1,22,SITE-001,59.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00157,1,0,SITE-002,73.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00158,1,2,SITE-002,73.38,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00159,1,4,SITE-002,89.11,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00160,1,6,SITE-002,78.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00161,1,8,SITE-002,62.78,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00162,1,10,SITE-002,60.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00163,1,12,SITE-002,63.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00164,1,14,SITE-002,45.47,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00165,1,16,SITE-002,78.2,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00166,1,18,SITE-002,46.09,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00167,1,20,SITE-002,93.17,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00168,1,22,SITE-002,77.24,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00169,1,0,SITE-003,90.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00170,1,2,SITE-003,54.23,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00171,1,4,SITE-003,48.41,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00172,1,6,SITE-003,83.45,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00173,1,8,SITE-003,86.06,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00174,1,10,SITE-003,81.73,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00175,1,12,SITE-003,53.25,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00176,1,14,SITE-003,86.55,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00177,1,16,SITE-003,57.02,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00178,1,18,SITE-003,94.71,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00179,1,20,SITE-003,65.07,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00180,1,22,SITE-003,73.69,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00181,1,0,SITE-004,44.2,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00182,1,2,SITE-004,48.32,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00183,1,4,SITE-004,86.53,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00184,1,6,SITE-004,73.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00185,1,8,SITE-004,92.3,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00186,1,10,SITE-004,72.52,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00187,1,12,SITE-004,50.02,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00188,1,14,SITE-004,43.04,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00189,1,16,SITE-004,56.5,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00190,1,18,SITE-004,45.5,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00191,1,20,SITE-004,50.45,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00192,1,22,SITE-004,85.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00193,1,0,SITE-005,77.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00194,1,2,SITE-005,68.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00195,1,4,SITE-005,54.5,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00196,1,6,SITE-005,89.29,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00197,1,8,SITE-005,80.51,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00198,1,10,SITE-005,53.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00199,1,12,SITE-005,46.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00200,1,14,SITE-005,68.9,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00201,1,16,SITE-005,91.94,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00202,1,18,SITE-005,62.67,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00203,1,20,SITE-005,76.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00204,1,22,SITE-005,60.33,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00205,1,0,SITE-006,90.97,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00206,1,2,SITE-006,70.9,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00207,1,4,SITE-006,59.89,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00208,1,6,SITE-006,76.17,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00209,1,8,SITE-006,57.51,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00210,1,10,SITE-006,49.22,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00211,1,12,SITE-006,44.5,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00212,1,14,SITE-006,85.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00213,1,16,SITE-006,83.51,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00214,1,18,SITE-006,49.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00215,1,20,SITE-006,61.39,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00216,1,22,SITE-006,50.41,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00217,1,0,SITE-007,57.8,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00218,1,2,SITE-007,69.47,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00219,1,4,SITE-007,79.6,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00220,1,6,SITE-007,67.95,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00221,1,8,SITE-007,56.86,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00222,1,10,SITE-007,84.68,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00223,1,12,SITE-007,61.45,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00224,1,14,SITE-007,78.11,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00225,1,16,SITE-007,83.36,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00226,1,18,SITE-007,81.68,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00227,1,20,SITE-007,88.61,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00228,1,22,SITE-007,80.7,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00229,1,0,SITE-008,44.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00230,1,2,SITE-008,91.69,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00231,1,4,SITE-008,57.26,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00232,1,6,SITE-008,47.61,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00233,1,8,SITE-008,74.53,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00234,1,10,SITE-008,66.67,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00235,1,12,SITE-008,84.16,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00236,1,14,SITE-008,66.09,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00237,1,16,SITE-008,51.06,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00238,1,18,SITE-008,72.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00239,1,20,SITE-008,89.35,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00240,1,22,SITE-008,54.72,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00241,1,0,SITE-009,84.97,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00242,1,2,SITE-009,58.36,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00243,1,4,SITE-009,40.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00244,1,6,SITE-009,69.39,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00245,1,8,SITE-009,78.39,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00246,1,10,SITE-009,74.19,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00247,1,12,SITE-009,78.93,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00248,1,14,SITE-009,41.88,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00249,1,16,SITE-009,68.73,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00250,1,18,SITE-009,77.85,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00251,1,20,SITE-009,65.1,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00252,1,22,SITE-009,73.71,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00253,1,0,SITE-010,51.4,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00254,1,2,SITE-010,73.95,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00255,1,4,SITE-010,66.29,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00256,1,6,SITE-010,53.94,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00257,1,8,SITE-010,51.92,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00258,1,10,SITE-010,90.53,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00259,1,12,SITE-010,46.62,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00260,1,14,SITE-010,55.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00261,1,16,SITE-010,49.43,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00262,1,18,SITE-010,87.38,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00263,1,20,SITE-010,71.26,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00264,1,22,SITE-010,56.08,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00265,1,0,SITE-011,83.43,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00266,1,2,SITE-011,68.22,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00267,1,4,SITE-011,75.32,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00268,1,6,SITE-011,42.28,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00269,1,8,SITE-011,63.37,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00270,1,10,SITE-011,40.56,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00271,1,12,SITE-011,43.44,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00272,1,14,SITE-011,49.1,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00273,1,16,SITE-011,65.98,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00274,1,18,SITE-011,83.86,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00275,1,20,SITE-011,60.58,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00276,1,22,SITE-011,81.44,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00277,1,0,SITE-012,64.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00278,1,2,SITE-012,70.73,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00279,1,4,SITE-012,60.31,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00280,1,6,SITE-012,40.33,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00281,1,8,SITE-012,45.54,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00282,1,10,SITE-012,43.71,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00283,1,12,SITE-012,43.4,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00284,1,14,SITE-012,51.29,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00285,1,16,SITE-012,65.82,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00286,1,18,SITE-012,89.17,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00287,1,20,SITE-012,93.9,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00288,1,22,SITE-012,82.33,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00289,2,0,SITE-001,92.7,review,silver,SYNTHETIC_PUBLIC_SAFE
S-00290,2,2,SITE-001,59.31,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00291,2,4,SITE-001,69.76,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00292,2,6,SITE-001,62.76,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00293,2,8,SITE-001,73.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00294,2,10,SITE-001,83.7,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00295,2,12,SITE-001,44.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00296,2,14,SITE-001,81.64,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00297,2,16,SITE-001,85.81,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00298,2,18,SITE-001,87.03,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00299,2,20,SITE-001,58.06,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00300,2,22,SITE-001,50.08,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00301,2,0,SITE-002,71.72,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00302,2,2,SITE-002,70.98,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00303,2,4,SITE-002,63.1,ok,silver,SYNTHETIC_PUBLIC_SAFE
