event_id,day_index,hour,site_token,anomaly_score,is_anomaly,layer,dataset
G-00025,0,0,SITE-003,0.514,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00026,0,2,SITE-003,0.174,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00027,0,4,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00028,0,6,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00029,0,8,SITE-003,0.204,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00030,0,10,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00031,0,12,SITE-003,0.447,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00032,0,14,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00033,0,16,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00034,0,18,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00035,0,20,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00036,0,22,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00037,0,0,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00038,0,2,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00039,0,4,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00040,0,6,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00041,0,8,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00042,0,10,SITE-004,0.176,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00043,0,12,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00044,0,14,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00045,0,16,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00046,0,18,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00047,0,20,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00048,0,22,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00049,0,0,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00050,0,2,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00051,0,4,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00052,0,6,SITE-005,0.205,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00053,0,8,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00054,0,10,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00055,0,12,SITE-005,0.292,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00056,0,14,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00057,0,16,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00058,0,18,SITE-005,0.595,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00059,0,20,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00060,0,22,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00061,0,0,SITE-006,0.319,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00062,0,2,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00063,0,4,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00064,0,6,SITE-006,0.182,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00065,0,8,SITE-006,0.043,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00066,0,10,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00067,0,12,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00068,0,14,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00069,0,16,SITE-006,0.69,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00070,0,18,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00071,0,20,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00072,0,22,SITE-006,0.616,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00073,0,0,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00074,0,2,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00075,0,4,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00076,0,6,SITE-007,0.196,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00077,0,8,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00078,0,10,SITE-007,0.4,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00079,0,12,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00080,0,14,SITE-007,0.048,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00081,0,16,SITE-007,0.34,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00082,0,18,SITE-007,0.249,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00083,0,20,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00084,0,22,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00085,0,0,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00086,0,2,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00087,0,4,SITE-008,0.673,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00088,0,6,SITE-008,0.118,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00089,0,8,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00090,0,10,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00091,0,12,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00092,0,14,SITE-008,0.055,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00093,0,16,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00094,0,18,SITE-008,0.623,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00095,0,20,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00096,0,22,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00097,0,0,SITE-009,0.569,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00098,0,2,SITE-009,0.235,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00099,0,4,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00100,0,6,SITE-009,0.222,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00101,0,8,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00102,0,10,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00103,0,12,SITE-009,0.474,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00104,0,14,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00105,0,16,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00106,0,18,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00107,0,20,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00108,0,22,SITE-009,0.139,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00109,0,0,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00110,0,2,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00111,0,4,SITE-010,0.037,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00112,0,6,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00113,0,8,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00114,0,10,SITE-010,0.417,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00115,0,12,SITE-010,0.228,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00116,0,14,SITE-010,0.353,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00117,0,16,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00118,0,18,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00119,0,20,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00120,0,22,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00121,0,0,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00122,0,2,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00123,0,4,SITE-011,0.084,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00124,0,6,SITE-011,0.77,1,gold,SYNTHETIC_PUBLIC_SAFE
G-00125,0,8,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00126,0,10,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00127,0,12,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00128,0,14,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00129,0,16,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00130,0,18,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00131,0,20,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00132,0,22,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00133,0,0,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00134,0,2,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00135,0,4,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00136,0,6,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00137,0,8,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00138,0,10,SITE-012,0.495,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00139,0,12,SITE-012,0.726,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00140,0,14,SITE-012,0.02,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00141,0,16,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00142,0,18,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00143,0,20,SITE-012,0.212,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00144,0,22,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00145,1,0,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00146,1,2,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00147,1,4,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00148,1,6,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00149,1,8,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00150,1,10,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00151,1,12,SITE-001,0.072,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00152,1,14,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00153,1,16,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00154,1,18,SITE-001,0.057,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00155,1,20,SITE-001,0.523,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00156,1,22,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00157,1,0,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00158,1,2,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00159,1,4,SITE-002,0.59,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00160,1,6,SITE-002,0.088,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00161,1,8,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00162,1,10,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00163,1,12,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00164,1,14,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00165,1,16,SITE-002,0.084,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00166,1,18,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00167,1,20,SITE-002,0.762,1,gold,SYNTHETIC_PUBLIC_SAFE
G-00168,1,22,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00169,1,0,SITE-003,0.73,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00170,1,2,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00171,1,4,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00172,1,6,SITE-003,0.317,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00173,1,8,SITE-003,0.382,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00174,1,10,SITE-003,0.189,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00175,1,12,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00176,1,14,SITE-003,0.419,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00177,1,16,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00178,1,18,SITE-003,0.942,1,gold,SYNTHETIC_PUBLIC_SAFE
G-00179,1,20,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00180,1,22,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00181,1,0,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00182,1,2,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00183,1,4,SITE-004,0.401,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00184,1,6,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00185,1,8,SITE-004,0.727,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00186,1,10,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00187,1,12,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00188,1,14,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00189,1,16,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00190,1,18,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00191,1,20,SITE-004,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00192,1,22,SITE-004,0.437,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00193,1,0,SITE-005,0.033,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00194,1,2,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00195,1,4,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00196,1,6,SITE-005,0.56,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00197,1,8,SITE-005,0.118,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00198,1,10,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00199,1,12,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00200,1,14,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00201,1,16,SITE-005,0.72,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00202,1,18,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00203,1,20,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00204,1,22,SITE-005,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00205,1,0,SITE-006,0.682,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00206,1,2,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00207,1,4,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00208,1,6,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00209,1,8,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00210,1,10,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00211,1,12,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00212,1,14,SITE-006,0.408,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00213,1,16,SITE-006,0.254,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00214,1,18,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00215,1,20,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00216,1,22,SITE-006,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00217,1,0,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00218,1,2,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00219,1,4,SITE-007,0.196,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00220,1,6,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00221,1,8,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00222,1,10,SITE-007,0.42,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00223,1,12,SITE-007,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00224,1,14,SITE-007,0.002,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00225,1,16,SITE-007,0.375,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00226,1,18,SITE-007,0.295,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00227,1,20,SITE-007,0.614,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00228,1,22,SITE-007,0.248,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00229,1,0,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00230,1,2,SITE-008,0.8,1,gold,SYNTHETIC_PUBLIC_SAFE
G-00231,1,4,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00232,1,6,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00233,1,8,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00234,1,10,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00235,1,12,SITE-008,0.422,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00236,1,14,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00237,1,16,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00238,1,18,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00239,1,20,SITE-008,0.617,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00240,1,22,SITE-008,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00241,1,0,SITE-009,0.364,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00242,1,2,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00243,1,4,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00244,1,6,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00245,1,8,SITE-009,0.015,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00246,1,10,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00247,1,12,SITE-009,0.025,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00248,1,14,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00249,1,16,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00250,1,18,SITE-009,0.001,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00251,1,20,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00252,1,22,SITE-009,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00253,1,0,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00254,1,2,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00255,1,4,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00256,1,6,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00257,1,8,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00258,1,10,SITE-010,0.724,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00259,1,12,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00260,1,14,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00261,1,16,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00262,1,18,SITE-010,0.527,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00263,1,20,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00264,1,22,SITE-010,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00265,1,0,SITE-011,0.299,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00266,1,2,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00267,1,4,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00268,1,6,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00269,1,8,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00270,1,10,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00271,1,12,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00272,1,14,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00273,1,16,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00274,1,18,SITE-011,0.347,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00275,1,20,SITE-011,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00276,1,22,SITE-011,0.291,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00277,1,0,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00278,1,2,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00279,1,4,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00280,1,6,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00281,1,8,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00282,1,10,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00283,1,12,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00284,1,14,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00285,1,16,SITE-012,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00286,1,18,SITE-012,0.653,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00287,1,20,SITE-012,0.804,1,gold,SYNTHETIC_PUBLIC_SAFE
G-00288,1,22,SITE-012,0.273,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00289,2,0,SITE-001,0.715,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00290,2,2,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00291,2,4,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00292,2,6,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00293,2,8,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00294,2,10,SITE-001,0.325,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00295,2,12,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00296,2,14,SITE-001,0.194,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00297,2,16,SITE-001,0.414,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00298,2,18,SITE-001,0.539,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00299,2,20,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00300,2,22,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00301,2,0,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00302,2,2,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00303,2,4,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00304,2,6,SITE-002,0.445,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00305,2,8,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00306,2,10,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00307,2,12,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00308,2,14,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00309,2,16,SITE-002,0.494,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00310,2,18,SITE-002,0.692,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00311,2,20,SITE-002,0.617,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00312,2,22,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00313,2,0,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00314,2,2,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00315,2,4,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00316,2,6,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00317,2,8,SITE-003,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00318,2,10,SITE-003,0.499,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00319,2,12,SITE-003,0.369,0,gold,SYNTHETIC_PUBLIC_SAFE
